node_id,tier,status,x,y,r,confidence,notes
73,Tier 1 - anchor,accepted_anchor,747.0,839.0,15.0,0.1776204789339261,"Directly detected, border-refined, used as grid anchor."
75,Tier 1 - anchor,accepted_anchor,875.0,458.0,15.0,0.4956087875129306,"Directly detected, border-refined, used as grid anchor."
76,Tier 1 - anchor,accepted_anchor,864.0,518.0,15.0,0.7586286725890004,"Directly detected, border-refined, used as grid anchor."
77,Tier 1 - anchor,accepted_anchor,852.0,579.0,15.0,0.8498414041405533,"Directly detected, border-refined, used as grid anchor."
78,Tier 1 - anchor,accepted_anchor,841.0,639.0,15.0,0.8384720481454406,"Directly detected, border-refined, used as grid anchor."
79,Tier 1 - anchor,accepted_anchor,829.0,700.0,15.0,0.7187362795644022,"Directly detected, border-refined, used as grid anchor."
80,Tier 1 - anchor,accepted_anchor,818.0,760.0,15.0,0.4387210098558565,"Directly detected, border-refined, used as grid anchor."
82,Tier 1 - anchor,accepted_anchor,921.0,497.0,15.0,0.3273577806500156,"Directly detected, border-refined, used as grid anchor."
83,Tier 1 - anchor,accepted_anchor,910.0,558.0,15.0,0.6815199947476676,"Directly detected, border-refined, used as grid anchor."
84,Tier 1 - anchor,accepted_anchor,899.0,618.0,15.0,0.6843025765040058,"Directly detected, border-refined, used as grid anchor."
85,Tier 1 - anchor,accepted_anchor,887.0,679.0,15.0,0.65535541279985,"Directly detected, border-refined, used as grid anchor."
86,Tier 1 - anchor,accepted_anchor,876.0,739.0,15.0,0.2621453852058229,"Directly detected, border-refined, used as grid anchor."
3,Tier 2 - recovered_strong,accepted_recovered_strong,365.0,581.0,15.0,1.0,Recovered from refit grid + local border search.
10,Tier 2 - recovered_strong,accepted_recovered_strong,526.0,299.0,15.0,1.0,Recovered from refit grid + local border search.
44,Tier 2 - recovered_strong,accepted_recovered_strong,598.0,781.0,15.0,1.0,Recovered from refit grid + local border search.
46,Tier 2 - recovered_strong,accepted_recovered_strong,746.0,277.0,15.0,1.0,Recovered from refit grid + local border search.
56,Tier 2 - recovered_strong,accepted_recovered_strong,793.0,317.0,15.0,1.0,Recovered from refit grid + local border search.
65,Tier 2 - recovered_strong,accepted_recovered_strong,839.0,357.0,15.0,1.0,Recovered from refit grid + local border search.
74,Tier 2 - recovered_strong,accepted_recovered_strong,886.0,397.0,15.0,1.0,Recovered from refit grid + local border search.
